"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "XML", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\rashm\Desktop\spotify-community-player\.tmp\testSocket.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 4, 1, 36
"c:\Users\rashm\Desktop\spotify-community-player\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"c:\Users\rashm\Desktop\spotify-community-player\CLAUDE.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\rashm\Desktop\spotify-community-player\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 14, 37
"c:\Users\rashm\Desktop\spotify-community-player\app\api\spotify\login\route.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\rashm\Desktop\spotify-community-player\app\auth-test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 1, 6, 49
"c:\Users\rashm\Desktop\spotify-community-player\app\callback\route.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\rashm\Desktop\spotify-community-player\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"c:\Users\rashm\Desktop\spotify-community-player\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\rashm\Desktop\spotify-community-player\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 2, 66
"c:\Users\rashm\Desktop\spotify-community-player\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\rashm\Desktop\spotify-community-player\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 3, 19
"c:\Users\rashm\Desktop\spotify-community-player\lib\roomManager.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 4, 22, 83
"c:\Users\rashm\Desktop\spotify-community-player\lib\spotify.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 3, 4, 26
"c:\Users\rashm\Desktop\spotify-community-player\lib\spotifyAuth.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rashm\Desktop\spotify-community-player\lib\spotifyToken.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rashm\Desktop\spotify-community-player\next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\rashm\Desktop\spotify-community-player\package-lock.json", "JSON", 0, 7136, 0, 0, 0, 0, 0, 0, 0, 1, 7137
"c:\Users\rashm\Desktop\spotify-community-player\package.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\rashm\Desktop\spotify-community-player\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\rashm\Desktop\spotify-community-player\public\file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rashm\Desktop\spotify-community-player\public\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rashm\Desktop\spotify-community-player\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rashm\Desktop\spotify-community-player\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rashm\Desktop\spotify-community-player\public\window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rashm\Desktop\spotify-community-player\server\socketServer.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"c:\Users\rashm\Desktop\spotify-community-player\test.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 1, 12
"c:\Users\rashm\Desktop\spotify-community-player\test.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\rashm\Desktop\spotify-community-player\testSocket.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 13, 43
"c:\Users\rashm\Desktop\spotify-community-player\tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\rashm\Desktop\spotify-community-player\tsconfig.node.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"Total", "-", 226, 7177, 34, 60, 5, 26, 154, 22, 21, 117, 7842
